Title,Price,Link
아쿠아맨과 로스트 킹덤 (Aquaman and The Lost Kingdom),"₩11,000",https://play.google.com/store/movies/details/%EC%95%84%EC%BF%A0%EC%95%84%EB%A7%A8%EA%B3%BC_%EB%A1%9C%EC%8A%A4%ED%8A%B8_%ED%82%B9%EB%8D%A4_Aquaman_and_The_Lost_Kingdom?id=2_gzWXQdhjE.P
나폴레옹  Napoleon,"₩4,000",https://play.google.com/store/movies/details/%EB%82%98%ED%8F%B4%EB%A0%88%EC%98%B9_Napoleon?id=t3YIFtmrt0E.P
더 마블스,"₩10,900",https://play.google.com/store/movies/details/%EB%8D%94_%EB%A7%88%EB%B8%94%EC%8A%A4?id=DiWkAp_hvjk.P
프레디의 피자가게,"₩1,800",https://play.google.com/store/movies/details/%ED%94%84%EB%A0%88%EB%94%94%EC%9D%98_%ED%94%BC%EC%9E%90%EA%B0%80%EA%B2%8C?id=-JhIH07Rw6Y.P
헝거게임: 노래하는 새와 뱀의 발라드,"₩7,000",https://play.google.com/store/movies/details/%ED%97%9D%EA%B1%B0%EA%B2%8C%EC%9E%84_%EB%85%B8%EB%9E%98%ED%95%98%EB%8A%94_%EC%83%88%EC%99%80_%EB%B1%80%EC%9D%98_%EB%B0%9C%EB%9D%BC%EB%93%9C?id=_RNH6yRYjjM.P
해리포터와 마법사의 돌,"₩2,000",https://play.google.com/store/movies/details/%ED%95%B4%EB%A6%AC%ED%8F%AC%ED%84%B0%EC%99%80_%EB%A7%88%EB%B2%95%EC%82%AC%EC%9D%98_%EB%8F%8C?id=Ipgr-Lsi_x8.P
듄,"₩5,000",https://play.google.com/store/movies/details/%EB%93%84?id=eD6Z-WgoHI8.P
쏘우 X,"₩7,700",https://play.google.com/store/movies/details/%EC%8F%98%EC%9A%B0_X?id=vpfXbD0WLWk.P
스파이더맨: 어크로스 더 유니버스  Spider-Man: Across The Spider-verse,"₩1,800",https://play.google.com/store/movies/details/%EC%8A%A4%ED%8C%8C%EC%9D%B4%EB%8D%94%EB%A7%A8_%EC%96%B4%ED%81%AC%EB%A1%9C%EC%8A%A4_%EB%8D%94_%EC%9C%A0%EB%8B%88%EB%B2%84%EC%8A%A4_Spider_Man_Across_The_Spider_ver?id=C3lWmuL2o8I.P
트랜스포머: 비스트의 서막,"₩2,500",https://play.google.com/store/movies/details/%ED%8A%B8%EB%9E%9C%EC%8A%A4%ED%8F%AC%EB%A8%B8_%EB%B9%84%EC%8A%A4%ED%8A%B8%EC%9D%98_%EC%84%9C%EB%A7%89?id=ZRplP3vZttk.P
스즈메의 문단속,"₩5,500",https://play.google.com/store/movies/details/%EC%8A%A4%EC%A6%88%EB%A9%94%EC%9D%98_%EB%AC%B8%EB%8B%A8%EC%86%8D?id=kjcu_9J7YNw.P
스파이더맨: 노 웨이 홈 Spider-Man: No Way Home,₩900,https://play.google.com/store/movies/details/%EC%8A%A4%ED%8C%8C%EC%9D%B4%EB%8D%94%EB%A7%A8_%EB%85%B8_%EC%9B%A8%EC%9D%B4_%ED%99%88_Spider_Man_No_Way_Home?id=HM9bohLg0oo.P
플라워 킬링 문 Killers Of The Flower Moon,"₩6,500",https://play.google.com/store/movies/details/%ED%94%8C%EB%9D%BC%EC%9B%8C_%ED%82%AC%EB%A7%81_%EB%AC%B8_Killers_Of_The_Flower_Moon?id=W5vFFZBGmag.P
찰리와 초콜릿 공장,"₩2,000",https://play.google.com/store/movies/details/%EC%B0%B0%EB%A6%AC%EC%99%80_%EC%B4%88%EC%BD%9C%EB%A6%BF_%EA%B3%B5%EC%9E%A5?id=-9ZN8fdtxbw
